file_name,target,detected,datetime
no_train_test_split.py,train_test_split,false,2024-04-10 22:29:57.884417 UTC
yes_train_test_split.py,train_test_split,true,2024-04-10 22:30:07.911706 UTC
yes_train_test_split.py,train_test_split,true,2024-04-11 20:30:00.137470 UTC
yes_train_test_split.py,train_test_split,true,2024-04-11 20:31:16.521683 UTC
yes_train_test_split.py,train_test_split,true,2024-04-11 20:31:43.156391 UTC
yes_train_test_split.py,train_test_split,train_test_split,true,2024-04-11 20:59:15.431071 UTC
yes_train_test_split.py,stratify,stratify,false,2024-04-11 20:59:15.469465 UTC
yes_train_test_split.py,train_test_split,train_test_split,true,2024-04-11 20:59:39.880743 UTC
yes_train_test_split.py,stratify,stratify,false,2024-04-11 20:59:39.880962 UTC
yes_train_test_split.py,train_test_split,train_test_split,true,2024-04-11 21:01:27.766906 UTC
yes_train_test_split.py,stratify,stratify,false,2024-04-11 21:01:27.767123 UTC
yes_train_test_split.py,train_test_split,train_test_split,true,2024-04-11 21:04:07.964555 UTC
yes_train_test_split.py,stratify,stratify,false,2024-04-11 21:04:07.964766 UTC
yes_train_test_split.py,train_test_split,Splits data into train and test,true,2024-04-11 21:06:32.150196 UTC
yes_train_test_split.py,stratify,Ensures class balance in train and test datasets,false,2024-04-11 21:06:32.150409 UTC
yes_train_test_split.py,train_test_split,Splits data into train and test,true,2024-04-11 21:08:37.172168 UTC
yes_train_test_split.py,stratify,Ensures class balance in train and test datasets,false,2024-04-11 21:08:37.172371 UTC
yes_train_test_split.py,train_test_split,Splits data into train and test,true,2024-04-11 21:16:18.152862 UTC
yes_train_test_split.py,stratify,Ensures class balance in train and test datasets,false,2024-04-11 21:16:18.153071 UTC
yes_train_test_split.py,random_state,Sets seed for reproducible train and test datasets,true,2024-04-11 21:16:18.153220 UTC
no_train_test_split.py,train_test_split,Splits data into train and test,false,2024-04-11 21:16:37.156165 UTC
no_train_test_split.py,stratify,Ensures class balance in train and test datasets,false,2024-04-11 21:16:37.156364 UTC
no_train_test_split.py,random_state,Sets seed for reproducible train and test datasets,false,2024-04-11 21:16:37.156647 UTC
